Code,Issue Name,Market Cap(KRW),Index Market Cap weight(%),Price on 20171228,Price on 20181228,Share Price Change(%),Exchange
006840,AK Holdings,"715,368,294,000",0.03,68500,54000,-21.17,ks
027410,BGF,"769,629,274,530",0.03,15250,8070,-47.08,ks
282330,BGF Retail,"3,525,916,824,000",0.21,210000,204000,-2.86,ks
138930,BNK Financial Group,"2,389,105,353,180",0.27,9420,7330,-22.19,ks
001040,CJ,"3,545,005,257,000",0.22,181500,121500,-33.06,ks
079160,CJ CGV,"867,613,833,000",0.07,74200,41000,-44.74,ks
000120,CJ LOGISTICS,"3,809,661,448,000",0.19,140000,167000,19.29,ks
097950,CJ CheilJedang,"4,975,408,473,000",0.35,366000,330500,-9.7,ks
005830,DB INSURANCE,"4,984,320,000,000",0.45,69224,70400,1.7,ks
000990,DB HiTek,"481,724,679,800",0.05,12000,10850,-9.58,ks
114090,GKL,"1,540,206,183,000",0.1,29104,24900,-14.44,ks
078930,GS,"4,794,433,504,800",0.35,59887,51600,-13.84,ks
006360,GS E&C,"3,469,245,850,000",0.32,27632,43750,58.33,ks
007070,GS Retail,"3,118,500,000,000",0.15,39639,40500,2.17,ks
012630,HDC HOLDINGS,"1,030,544,687,250",0.09,21187,17250,-18.58,ks
294870,HDC-OP,"2,117,822,204,000",0.18,70500,48200,-31.63,ks
001060,JWPHARMA,"807,072,495,000",0.06,44411,40750,-8.24,ks
096760,JW HOLDINGS,"451,666,096,980",0.03,8205,7140,-12.98,ks
105560,KBFinancialGroup,"19,442,186,470,500",2.21,63400,46500,-26.66,ks
002380,KCC,"3,261,962,517,000",0.24,379841,309000,-18.65,ks
030200,KT,"7,781,131,878,400",0.86,30250,29800,-1.49,ks
033780,KT&G,"13,935,188,445,500",1.53,115500,101500,-12.12,ks
093050,LF,"726,614,000,000",0.06,31300,24850,-20.61,ks
003550,LG Corp.,"12,061,743,456,900",0.84,91000,69900,-23.19,ks
034220,LG Display,"6,458,573,385,000",0.54,29900,18050,-39.63,ks
001120,LGInt,"594,966,000,000",0.06,26701,15350,-42.51,ks
051900,LGH&H,"17,195,634,897,000",1.38,1178750,1101000,-6.6,ks
032640,LG Uplus,"7,706,190,521,650",0.66,13676,17650,29.06,ks
011070,LG Innotek,"2,044,838,044,800",0.16,143485,86400,-39.78,ks
066570,LGELECTRONICS,"10,195,258,812,200",0.9,104703,62300,-40.5,ks
108670,LG HAUSYS,"507,570,122,000",0.05,96674,56600,-41.45,ks
051910,LGCHEM,"24,495,543,021,000",2.13,398116,347000,-12.84,ks
079550,LIG Nex1,"812,900,000,000",0.05,59800,36950,-38.21,ks
006260,LS,"1,581,020,000,000",0.11,72500,49100,-32.28,ks
010120,LSINDUSTRIALSYSTEMS,"1,470,000,000,000",0.1,65100,49000,-24.73,ks
035420,NAVER,"20,107,234,190,000",2.07,173540,122000,-29.7,ks
005940,NHIS,"3,672,385,975,350",0.25,13900,13050,-6.12,ks
010060,OCI,"2,551,882,697,000",0.27,136000,107000,-21.32,ks
005490,POSCO,"21,186,400,905,000",2.24,320652,243000,-24.22,ks
064960,S&T MOTIV,"395,555,828,800",0.03,46850,27050,-42.26,ks
010950,S-Oil,"10,999,338,778,400",0.54,116378,97700,-16.05,ks
034120,SBS,"365,051,640,000",0.03,25850,20000,-22.63,ks
034730,SK,"18,293,677,220,000",1.2,281905,260000,-7.77,ks
011790,SKC,"1,343,737,069,000",0.09,45705,35800,-21.67,ks
001740,SKNetworks,"1,290,575,764,400",0.1,6490,5200,-19.88,ks
006120,SK Discovery,"496,888,015,500",0.04,52201,26100,-50.0,ks
096770,SK Innovation,"16,597,568,738,000",1.38,195749,179500,-8.3,ks
285130,SKCHEM,"810,589,640,000",0.07,113353,70000,-38.25,ks
017670,SKTelecom,"21,760,969,114,500",1.83,256968,269500,4.88,ks
000660,SK hynix,"44,044,143,082,500",4.53,74590,60500,-18.89,ks
005610,SPC SAMLIP,"1,100,198,647,500",0.03,156500,127500,-18.53,ks
035250,Kangwonland,"6,846,096,000,000",0.54,34800,32000,-8.05,ks
010130,KorZinc,"8,161,275,000,000",0.48,493000,432500,-12.27,ks
002240,KISWire,"465,000,000,000",0.02,32800,23250,-29.12,ks
011780,KumhoPetrochem,"2,659,829,424,300",0.21,97927,87300,-10.85,ks
073240,KUMHOTIRE,"1,525,352,123,970",0.11,4425,5310,20.0,ks
000270,KiaMtr,"13,660,744,793,900",1.13,32597,33700,3.38,ks
024110,IBK,"7,867,702,350,750",0.47,16450,14050,-14.59,ks
003920,NamyangDairy,"449,280,000,000",0.02,697000,624000,-10.47,ks
025860,NamhaeChem,"571,306,694,500",0.03,10700,11500,7.48,ks
002350,NEXENTIRE,"895,614,432,090",0.04,11672,9170,-21.44,ks
251270,Netmarble,"9,507,143,947,500",0.95,188500,111500,-40.85,ks
006280,GC Corp,"1,589,369,168,000",0.1,226000,136000,-39.82,ks
005250,GCH Corp,"1,180,408,071,000",0.07,39250,25100,-36.05,ks
004370,Nongshim,"1,548,032,389,000",0.1,348380,254500,-26.95,ks
019680,DAEKYO,"567,509,095,000",0.02,8094,6700,-17.22,ks
008060,DaeduckElec,"709,863,445,200",0.06,9860,9100,-7.71,ks
000210,DaelimInd,"3,567,000,000,000",0.37,82400,102500,24.39,ks
001680,Daesang,"867,933,026,250",0.06,27550,25050,-9.07,ks
047040,DWEC,"2,240,206,018,820",0.14,5920,5390,-8.95,ks
042660,DSME,"3,661,076,430,800",0.21,25850,34150,32.11,ks
069620,DAEWOONG PHARM,"2,184,069,387,500",0.11,164500,188500,14.59,ks
006650,KPIC,"997,750,000,000",0.06,263500,153500,-41.75,ks
003490,KAL,"3,134,615,153,700",0.26,33850,33050,-2.36,ks
001230,DongkukStlMill,"689,978,688,510",0.07,11000,7230,-34.27,ks
026960,DONGSUH,"1,784,630,000,000",0.07,27986,17900,-36.04,ks
000640,Donga Socio Holdings,"669,074,046,000",0.06,128000,109000,-14.84,ks
170900,Donga ST,"882,384,206,000",0.09,99600,104500,4.92,ks
001520,TONGYANG,"494,076,010,410",0.04,1985,2070,4.28,ks
049770,DongwonF&B,"1,109,498,150,000",0.04,234000,287500,22.86,ks
014820,DWS,"700,666,275,850",0.02,47000,27350,-41.81,ks
000150,DOOSAN,"2,033,548,373,000",0.08,109138,111500,2.16,ks
241560,Doosan Bobcat,"3,157,848,729,000",0.19,31045,31500,1.47,ks
042670,DSINFRA,"1,579,917,610,920",0.14,8690,7590,-12.66,ks
034020,DHICO,"1,139,838,393,190",0.09,15350,9730,-36.61,ks
115390,L&L,"1,121,662,620,000",0.05,27250,20700,-24.04,ks
023530,LOTTE SHOPPING,"5,968,927,305,000",0.29,199000,211000,6.03,ks
